name,type,start_time,duration
"Bitbang SPI","enable",2.077848083,0.000000083
"Bitbang SPI","disable",2.07785175,0.000000083
"Bitbang SPI","enable",2.077854583,0.000000083
"Bitbang SPI","disable",2.07785775,0.000000083
"Bitbang SPI","enable",2.077860667,0.000000083
"Bitbang SPI","disable",2.077863833,0.000000083
"Bitbang SPI","enable",2.077866667,0.000000083
"Bitbang SPI","disable",2.077869833,0.000000083
"Bitbang SPI","enable",2.07787275,0.000000083
"Bitbang SPI","disable",2.077875917,0.000000083
"Bitbang SPI","enable",2.07787875,0.000000083
"Bitbang SPI","disable",2.077881917,0.000000083
"Bitbang SPI","enable",2.07788475,0.000000083
"Bitbang SPI","disable",2.077887917,0.000000083
"Bitbang SPI","enable",2.077890833,0.000000083
"Bitbang SPI","disable",2.077894,0.000000083
"Bitbang SPI","enable",2.077896833,0.000000083
"Bitbang SPI","disable",2.0779005,0.000000083
"Bitbang SPI","enable",2.077903333,0.000000083
"Bitbang SPI","disable",2.077906583,0.000000083
"Bitbang SPI","enable",2.077909417,0.000000083
"Bitbang SPI","disable",2.077912583,0.000000083
"Bitbang SPI","enable",2.0779155,0.000000083
"Bitbang SPI","disable",2.077918667,0.000000083
"Bitbang SPI","enable",2.0779215,0.000000083
"Bitbang SPI","disable",2.07792475,0.000000083
"Bitbang SPI","enable",2.077927583,0.000000083
"Bitbang SPI","disable",2.07793075,0.000000083
"Bitbang SPI","enable",2.077933667,0.000000083
"Bitbang SPI","disable",2.077936833,0.000000083
"Bitbang SPI","enable",2.077939667,0.000000083
"Bitbang SPI","disable",2.077942833,0.000000083
"Bitbang SPI","enable",2.07794575,0.000000083
"Bitbang SPI","disable",2.077952417,0.000000083
"Bitbang SPI","enable",2.07795525,0.000000083
"Bitbang SPI","disable",2.077958417,0.000000083
"Bitbang SPI","enable",2.077961333,0.000000083
"Bitbang SPI","disable",2.0779645,0.000000083
"Bitbang SPI","enable",2.077967333,0.000000083
"Bitbang SPI","disable",2.077970583,0.000000083
"Bitbang SPI","enable",2.077973417,0.000000083
"Bitbang SPI","disable",2.077976583,0.000000083
"Bitbang SPI","enable",2.0779795,0.000000083
"Bitbang SPI","disable",2.077982667,0.000000083
"Bitbang SPI","enable",2.0779855,0.000000083
"Bitbang SPI","disable",2.077988667,0.000000083
"Bitbang SPI","enable",2.0779915,0.000000083
"Bitbang SPI","disable",2.077994667,0.000000083
"Bitbang SPI","enable",2.077997583,0.000000083
"Bitbang SPI","disable",2.07800125,0.000000083
"Bitbang SPI","enable",2.078004083,0.000000083
"Bitbang SPI","disable",2.07800725,0.000000083
"Bitbang SPI","enable",2.078010167,0.000000083
"Bitbang SPI","disable",2.078013333,0.000000083
"Bitbang SPI","enable",2.078016167,0.000000083
"Bitbang SPI","disable",2.078019333,0.000000083
"Bitbang SPI","enable",2.07802225,0.000000083
"Bitbang SPI","disable",2.078025417,0.000000083
"Bitbang SPI","enable",2.07802825,0.000000083
"Bitbang SPI","disable",2.078031417,0.000000083
"Bitbang SPI","enable",2.07803425,0.000000083
"Bitbang SPI","disable",2.078037417,0.000000083
"Bitbang SPI","enable",2.078040333,0.000000083
"Bitbang SPI","disable",2.0780435,0.000000083
"Bitbang SPI","enable",2.078046333,0.000000083
"Bitbang SPI","disable",2.07805,0.000000083
"Bitbang SPI","enable",2.078052833,0.000000083
"Bitbang SPI","disable",2.078056,0.000000083
"Bitbang SPI","enable",2.078058917,0.000000083
"Bitbang SPI","disable",2.078062083,0.000000083
"Bitbang SPI","enable",2.078064917,0.000000083
"Bitbang SPI","disable",2.078068083,0.000000083
"Bitbang SPI","enable",2.078071,0.000000083
"Bitbang SPI","disable",2.078074167,0.000000083
"Bitbang SPI","enable",2.078077,0.000000083
