name,type,start_time,duration
"Bitbang SPI","enable",3.256517,0.000000083
"Bitbang SPI","disable",3.256523417,0.000000083
"Bitbang SPI","enable",3.256526333,0.000000083
"Bitbang SPI","disable",3.2565295,0.000000083
"Bitbang SPI","enable",3.256532333,0.000000083
"Bitbang SPI","disable",3.2565355,0.000000083
"Bitbang SPI","enable",3.256538417,0.000000083
"Bitbang SPI","disable",3.256541583,0.000000083
"Bitbang SPI","enable",3.256544417,0.000000083
"Bitbang SPI","disable",3.256547583,0.000000083
"Bitbang SPI","enable",3.2565505,0.000000083
"Bitbang SPI","disable",3.256553667,0.000000083
"Bitbang SPI","enable",3.2565565,0.000000083
"Bitbang SPI","disable",3.25655975,0.000000083
"Bitbang SPI","enable",3.256562583,0.000000083
"Bitbang SPI","disable",3.25656575,0.000000083
"Bitbang SPI","enable",3.256568667,0.000000083
"Bitbang SPI","disable",3.256913333,0.000000083
"Bitbang SPI","enable",3.25691625,0.000000083
"Bitbang SPI","disable",3.256919417,0.000000083
"Bitbang SPI","enable",3.25692225,0.000000083
"Bitbang SPI","disable",3.2569255,0.000000083
"Bitbang SPI","enable",3.256928333,0.000000083
"Bitbang SPI","disable",3.2569315,0.000000083
"Bitbang SPI","enable",3.256934417,0.000000083
"Bitbang SPI","disable",3.256937583,0.000000083
"Bitbang SPI","enable",3.256940417,0.000000083
"Bitbang SPI","disable",3.256943667,0.000000083
"Bitbang SPI","enable",3.2569465,0.000000083
"Bitbang SPI","disable",3.256949667,0.000000083
"Bitbang SPI","enable",3.2569525,0.000000083
"Bitbang SPI","disable",3.256955667,0.000000083
"Bitbang SPI","enable",3.256958583,0.000000083
"Bitbang SPI","disable",3.25696225,0.000000083
"Bitbang SPI","enable",3.256965083,0.000000083
"Bitbang SPI","disable",3.25696825,0.000000083
"Bitbang SPI","enable",3.256971167,0.000000083
"Bitbang SPI","disable",3.256974333,0.000000083
"Bitbang SPI","enable",3.256977167,0.000000083
"Bitbang SPI","disable",3.256980333,0.000000083
"Bitbang SPI","enable",3.256983167,0.000000083
"Bitbang SPI","disable",3.256986333,0.000000083
"Bitbang SPI","enable",3.25698925,0.000000083
"Bitbang SPI","disable",3.256992417,0.000000083
"Bitbang SPI","enable",3.25699525,0.000000083
"Bitbang SPI","disable",3.2569985,0.000000083
"Bitbang SPI","enable",3.257001333,0.000000083
"Bitbang SPI","disable",3.2570045,0.000000083
"Bitbang SPI","enable",3.257007417,0.000000083
"Bitbang SPI","disable",3.257011,0.000000083
"Bitbang SPI","enable",3.257013917,0.000000083
"Bitbang SPI","disable",3.257017083,0.000000083
"Bitbang SPI","enable",3.257019917,0.000000083
"Bitbang SPI","disable",3.257023167,0.000000083
"Bitbang SPI","enable",3.257026,0.000000083
"Bitbang SPI","disable",3.257029167,0.000000083
"Bitbang SPI","enable",3.257032083,0.000000083
"Bitbang SPI","disable",3.25703525,0.000000083
"Bitbang SPI","enable",3.257038083,0.000000083
"Bitbang SPI","disable",3.25704125,0.000000083
"Bitbang SPI","enable",3.257044167,0.000000083
"Bitbang SPI","disable",3.257047333,0.000000083
"Bitbang SPI","enable",3.257050167,0.000000083
"Bitbang SPI","disable",3.257053333,0.000000083
"Bitbang SPI","enable",3.25705625,0.000000083
"Bitbang SPI","disable",3.25706275,0.000000083
"Bitbang SPI","enable",3.257065667,0.000000083
"Bitbang SPI","disable",3.257068833,0.000000083
"Bitbang SPI","enable",3.257071667,0.000000083
"Bitbang SPI","disable",3.257074833,0.000000083
"Bitbang SPI","enable",3.25707775,0.000000083
"Bitbang SPI","disable",3.257080917,0.000000083
"Bitbang SPI","enable",3.25708375,0.000000083
"Bitbang SPI","disable",3.257087,0.000000083
"Bitbang SPI","enable",3.257089833,0.000000083
"Bitbang SPI","disable",3.257093,0.000000083
"Bitbang SPI","enable",3.257095917,0.000000083
"Bitbang SPI","disable",3.257099083,0.000000083
"Bitbang SPI","enable",3.257101917,0.000000083
"Bitbang SPI","disable",3.257105083,0.000000083
"Bitbang SPI","enable",3.257108,0.000000083
"Bitbang SPI","disable",3.257111583,0.000000083
"Bitbang SPI","enable",3.2571145,0.000000083
"Bitbang SPI","disable",3.257117667,0.000000083
"Bitbang SPI","enable",3.2571205,0.000000083
"Bitbang SPI","disable",3.257123667,0.000000083
"Bitbang SPI","enable",3.257126583,0.000000083
"Bitbang SPI","disable",3.25712975,0.000000083
"Bitbang SPI","enable",3.257132583,0.000000083
"Bitbang SPI","disable",3.25713575,0.000000083
"Bitbang SPI","enable",3.257138583,0.000000083
"Bitbang SPI","disable",3.257141833,0.000000083
"Bitbang SPI","enable",3.257144667,0.000000083
