name,type,start_time,duration
"Bitbang SPI","enable",4.748903833,0.000000083
"Bitbang SPI","disable",4.7489075,0.000000083
"Bitbang SPI","enable",4.748910333,0.000000083
"Bitbang SPI","disable",4.7489135,0.000000083
"Bitbang SPI","enable",4.748916417,0.000000083
"Bitbang SPI","disable",4.748919583,0.000000083
"Bitbang SPI","enable",4.748922417,0.000000083
"Bitbang SPI","disable",4.748925583,0.000000083
"Bitbang SPI","enable",4.7489285,0.000000083
"Bitbang SPI","disable",4.748931667,0.000000083
"Bitbang SPI","enable",4.7489345,0.000000083
"Bitbang SPI","disable",4.748937667,0.000000083
"Bitbang SPI","enable",4.7489405,0.000000083
"Bitbang SPI","disable",4.748943667,0.000000083
"Bitbang SPI","enable",4.748946583,0.000000083
"Bitbang SPI","disable",4.74894975,0.000000083
"Bitbang SPI","enable",4.748952583,0.000000083
"Bitbang SPI","disable",4.74895625,0.000000083
"Bitbang SPI","enable",4.748959083,0.000000083
"Bitbang SPI","disable",4.748962333,0.000000083
"Bitbang SPI","enable",4.748965167,0.000000083
"Bitbang SPI","disable",4.748968333,0.000000083
"Bitbang SPI","enable",4.74897125,0.000000083
"Bitbang SPI","disable",4.748974417,0.000000083
"Bitbang SPI","enable",4.74897725,0.000000083
"Bitbang SPI","disable",4.7489805,0.000000083
"Bitbang SPI","enable",4.748983333,0.000000083
"Bitbang SPI","disable",4.7489865,0.000000083
"Bitbang SPI","enable",4.748989417,0.000000083
"Bitbang SPI","disable",4.748992583,0.000000083
"Bitbang SPI","enable",4.748995417,0.000000083
"Bitbang SPI","disable",4.748998667,0.000000083
"Bitbang SPI","enable",4.7490015,0.000000083
"Bitbang SPI","disable",4.749008167,0.000000083
"Bitbang SPI","enable",4.749011,0.000000083
"Bitbang SPI","disable",4.749014167,0.000000083
"Bitbang SPI","enable",4.749017083,0.000000083
"Bitbang SPI","disable",4.74902025,0.000000083
"Bitbang SPI","enable",4.749023083,0.000000083
"Bitbang SPI","disable",4.749026333,0.000000083
"Bitbang SPI","enable",4.749029167,0.000000083
"Bitbang SPI","disable",4.749032333,0.000000083
"Bitbang SPI","enable",4.74903525,0.000000083
"Bitbang SPI","disable",4.749038417,0.000000083
"Bitbang SPI","enable",4.74904125,0.000000083
